,cc-pwCV5Z,aug-cc-pvt+dz,aug-pc-3,Def2-TZVP,Def2-QZVP,aug-cc-pvd+dz,Def2-TZVPPD,Def2-QZVPPD,Def2-SVP,aug-pc-0,aug-cc-pv5+dz,aug-pc-4,cc-pwCVTZ,cc-pwCVQZ,aug-pc-1,aug-cc-pvqz,cc-pwCVDZ,aug-cc-pvtz,aug-pc-2,aug-cc-pvq+dz,aug-cc-pv5z,aug-cc-pvdz
42_Mo.out,398,,,66,130,,98,148,48,,,,180,274,,256.0,94,162.0,,,380.0,94.0
43_Tc.out,129,,,65,129,,97,161,47,,,,129,129,,255.0,129,161.0,,,379.0,93.0
44_Ru.out,396,,,64,128,,96,160,46,,,,178,272,,254.0,92,160.0,,,378.0,92.0
45_Rh.out,395,,,63,127,,95,159,45,,,,177,271,,253.0,91,159.0,,,377.0,91.0
46_Pd.out,394,,,62,126,,94,158,44,,,,176,270,,252.0,90,158.0,,,376.0,90.0
47_Ag.out,393,,,61,125,,93,157,43,,,,175,269,,251.0,89,157.0,,,375.0,89.0
48_Cd.out,392,,,60,124,,92,156,42,,,,174,268,,250.0,88,156.0,,,374.0,88.0
49_In.out,437,,,79,143,,91,155,31,,,,139,267,,163.0,57,89.0,,,257.0,43.0
50_Sn.out,436,,,78,142,,90,154,30,,,,138,266,,162.0,56,88.0,,,256.0,42.0
51_Sb.out,435,,,77,141,,89,153,29,,,,137,265,,161.0,55,87.0,,,255.0,41.0
52_Te.out,434,,,76,140,,94,158,28,,,,136,264,,160.0,54,86.0,,,254.0,40.0
53_I.out,433,,,75,139,,93,157,27,,,,135,263,,159.0,53,85.0,,,253.0,39.0
54_Xe.out,432,,,74,138,,92,156,74,,,,134,262,,158.0,52,84.0,,,252.0,38.0
55_Cs.out,0,,,49,87,,69,115,39,,,,0,0,,,0,,,,,
56_Ba.out,0,,,70,78,,70,106,36,,,,0,0,,,0,,,,,
57_La.out,0,,,69,133,,107,151,53,,,,0,0,,,0,,,,,
72_Hf.out,400,,,68,132,,106,156,52,,,,182,276,,258.0,96,164.0,,,382.0,96.0
73_Ta.out,399,,,67,131,,105,155,51,,,,181,275,,257.0,95,163.0,,,381.0,95.0
74_W.out,398,,,66,130,,104,154,50,,,,180,274,,256.0,94,162.0,,,380.0,94.0
75_Re.out,397,,,65,129,,103,167,49,,,,179,273,,255.0,93,161.0,,,379.0,93.0
76_Os.out,396,,,64,128,,102,160,48,,,,178,272,,254.0,92,160.0,,,378.0,92.0
77_Ir.out,395,,,63,127,,101,159,47,,,,177,271,,253.0,91,159.0,,,377.0,91.0
78_Pt.out,394,,,62,126,,100,158,46,,,,176,270,,252.0,90,158.0,,,376.0,90.0
79_Au.out,393,,,61,125,,99,157,45,,,,175,269,,251.0,89,157.0,,,375.0,89.0
80_Hg.out,392,,,66,124,,104,156,44,,,,174,268,,250.0,88,156.0,,,374.0,88.0
81_Tl.out,437,,,79,143,,91,155,31,,,,139,267,,163.0,57,89.0,,,257.0,43.0
82_Pb.out,436,,,78,142,,90,154,30,,,,138,266,,162.0,56,88.0,,,256.0,42.0
83_Bi.out,435,,,77,141,,89,153,29,,,,137,265,,161.0,55,87.0,,,255.0,41.0
84_Po.out,434,,,76,140,,94,158,28,,,,136,264,,160.0,54,86.0,,,254.0,40.0
85_At.out,433,,,75,139,,93,157,27,,,,135,263,,159.0,53,85.0,,,253.0,39.0
86_Rn.out,432,,,74,138,,92,156,74,,,,134,262,,158.0,52,84.0,,,252.0,38.0
