,cc-pwCV5Z,Def2-TZVP,Def2-QZVP,Def2-SVP,cc-pwCVTZ,cc-pwCVQZ,cc-pwCVDZ
73_Ta.out,-0.066803723,-0.069501337,-0.069202582,-0.069509451,-0.069362581,-0.069335491,-0.069504585
74_W.out,-0.07218696,-0.075292261,-0.072259361,-0.07240523,-0.072253948,-0.074576339,-0.072555828
75_Re.out,-0.079811665,-0.081191877,-0.079969654,-0.080003216,-0.079965667,-0.079822859,-0.080065861
76_Os.out,-0.094385323,-0.094923957,-0.09472234,-0.096287002,-0.094405526,-0.094396372,-0.096561571
77_Ir.out,-0.108276464,-0.111162383,-0.108156645,-0.108329319,-0.11142663,-0.108634286,-0.111174774
78_Pt.out,-0.121568555,-0.121542508,-0.121332982,-0.12157003,-0.121605358,-0.121576486,-0.121745045
79_Au.out,-0.133295192,-0.133310781,-0.133277916,-0.133285633,-0.133299981,-0.13329636,-0.133329014
80_Hg.out,-0.147004831,-0.147094522,-0.147086141,-0.147098935,-0.147007909,-0.147006351,-0.147008173
81_Tl.out,-0.147728027,-0.147763689,-0.147736851,-0.147841759,-0.147745818,-0.147736139,-0.147835658
82_Pb.out,-0.14731034,-0.147339915,-0.147317138,-0.147438172,-0.147323243,-0.147317875,-0.147397843
83_Bi.out,-0.14884926,-0.148883414,-0.148849409,-0.148996308,-0.148847622,-0.148856056,-0.1489043
84_Po.out,-0.155538933,-0.155621313,-0.155542767,-0.155983228,-0.155611056,-0.155556121,-0.155883757
85_At.out,-0.163021928,-0.163095097,-0.163027359,-0.163423278,-0.163100218,-0.163042417,-0.163316927
86_Rn.out,-0.170842193,-0.170858162,-0.170843673,-0.170858162,-0.1708434,-0.17084217,-0.170876317
